4146083	-3926	0.983	-0.015	0.025
55317	4145438	-3886	0.282	-0.527	1.409
55325	4145438	-3886	0.424	-0.513	1.262
55361	4145530	-3886	0.295	-0.461	1.180
55373	4145530	-3886	0.237	-0.485	1.135
55384	4145566	-3884	0.212	-0.499	1.101
55389	4145566	-3884	0.213	-0.116	1.289
55433	4145675	-3885	0.111	-0.211	0.721
55462	4145675	-3884	0.050	-0.300	0.844
55484	4145546	-3884	-0.157	-0.230	1.044
55505	4145584	-3884	-0.364	-0.321	1.101
55526	4145584	-3884	-0.541	-0.165	1.057
55548	4145534	-3884	-0.498	-0.128	1.043
55567	4145534	-3884	-0.336	-0.129	1.123
55588	4145621	-3884	-0.143	-0.236	1.036
55612	4145621	-3884	-0.194	-0.676	0.846
55633	4145600	-3885	0.188	-0.698	1.291
55652	4145600	-3885	0.203	-0.581	1.233
55667	4145600	-3883	0.202	-0.661	1.263
55673	4145591	-3883	0.226	-0.637	0.742
55719	4145798	-3880	0.430	-0.408	0.929
55738	4145798	-3880	0.178	-0.556	0.669
55762	4145632	-3882	0.097	-0.985	0.484
55783	4145632	-3882	-0.270	-0.350	0.586
55804	4145581	-3882	0.149	-0.443	0.776
55826	4145581	-3882	0.112	-0.501	1.194
55847	4145511	-3883	0.292	-0.558	0.186
55868	4145511	-3883	0.293	-0.260	-0.158
55890	4145441	-3883	-0.004	-0.130	0.588
55910	4145441	-3884	-0.049	-0.295	0.738
55932	4145389	-3884	-0.052	-0.385	0.943
55948	4145389	-3884	-0.053	-0.499	0.973
55965	4145460	-3884	0.130	-0.736	0.811
55975	4145460	-3884	0.192	-0.703	0.989
55986	4145460	-3884	0.036	-0.640	1.001
55991	4145460	-3884	0.037	-0.740	1.077
56029	4145696	-3881	0.000	-0.851	1.187
56054	4145524	-3881	0.096	-0.864	1.252
56064	4145524	-3881	0.153	-0.851	1.326
56075	4145573	-3880	0.158	-0.812	1.240
56098	4145573	-3880	0.111	-0.657	1.169
56116	4145539	-3883	0.103	-0.650	1.119
56132	4145539	-3883	0.172	-0.724	1.042
56153	4145539	-3880	0.437	-0.108	0.683
56174	4145565	-3880	0.036	-0.488	0.943
56195	4145565	-3881	-0.102	-0.501	0.675
56217	4145603	-3881	-0.293	-0.315	0.941
56237	4145649	-3880	-0.047	-0.317	0.752
56258	4145649	-3880	-0.055	-0.097	0.508
56275	4145649	-3881	-0.117	-0.215	0.525
56285	4145586	-3881	-0.117	-0.277	0.667
56297	4145586	-3881	-0.274	-0.170	0.892
56304	4145586	-3881	-0.384	-0.368	0.819
56348	4145465	-3880	-0.392	-0.395	0.906
56369	4145785	-3880	-0.151	-0.562	1.137
56390	4145785	-3880	0.055	-0.697	1.160
56412	4145460	-3881	0.076	-0.646	1.197
56433	4145460	-3881	0.165	-0.743	1.250
56452	4145609	-3880	0.078	-0.913	1.318
56473	4145609	-3880	0.467	-0.812	0.738
56494	4145579	-3878	0.235	-0.562	0.533
56518	4145579	-3876	0.060	-0.366	0.465
56536	4145592	-3876	0.133	-0.295	0.452
56559	4145592	-3879	0.067	-0.378	0.527
56574	4145626	-3879	0.041	-0.336	0.649
56585	4145626	-3879	-0.004	-0.350	0.641
56596	4145626	-3879	-0.095	-0.428	0.494
56605	4145572	-3880	-0.152	-0.412	0.590
56633	4145572	-3880	-0.437	-0.373	-0.034
56663	4145579	-3879	-0.062	-0.493	0.967
56687	4145560	-3880	0.178	-0.661	0.962
56708	4145560	-3880	-0.158	-0.642	0.958
56729	4145567	-3878	-0.029	-0.765	0.971
56750	4145567	-3878	0.060	-1.031	0.801
56761	4145567	-3880	0.009	-0.925	0.800
56784	4145608	-3880	0.102	-0.484	0.942
56806	4145569	-3878	0.013	-0.445	1.006
56823	4145569	-3878	-0.137	-0.484	0.848
56844	4145569	-3878	-0.008	-0.351	0.865
56864	4145726	-3878	-0.134	-0.388	0.869
56878	4145726	-3878	-0.226	-0.464	0.908
56888	4145655	-3880	-0.447	-0.294	0.776
56899	4145655	-3880	-0.554	-0.071	0.805
56909	4145655	-3880	-0.457	0.259	0.809
56934	4145833	-3878	-0.338	0.086	0.882
56953	4145833	-3878	-0.274	-0.030	1.039
56959	4145833	-3878	-0.231	-0.455	1.349
56996	4145640	-3879	0.141	-0.493	1.538
57013	4145884	-3877	0.160	-0.652	1.443
57034	4145884	-3877	-0.193	-0.586	1.308
57054	4145866	-3878	-0.381	-0.354	1.183
57076	4145866	-3878	-0.250	-0.347	1.239
57096	4145477	-3879	-0.004	-0.492	1.073
57118	4145477	-3879	-0.117	-0.337	0.773
57138	4145570	-3877	-0.092	-0.138	0.971
57159	4145570	-3877	0.138	-0.150	1.168
57174	4145546	-3878	0.135	0.077	1.228
57184	4145546	-3878	0.071	-0.030	1.193
57243	4145917	-3875	0.011	-0.162	0.896
57261	4145873	-3875	-0.096	-0.176	0.979
57282	4145873	-3875	-0.069	-0.144	1.140
57301	4145503	-3878	-0.064	-0.153	1.171
57322	4145503	-3878	-0.140	-0.203	1.102
57342	4145581	-3875	-0.155	-0.226	1.170
57358	4145581	-3875	-0.132	-0.253	1.153
57371	4145581	-3875	-0.129	-0.277	1.119
57383	4145344	-3878	-0.128	-0.288	1.109
57396	4145344	-3878	-0.375	-0.218	0.968
57417	4145579	-3877	-0.334	-0.037	1.060
57453	4145579	-3877	-0.311	0.414	1.024
57469	4145619	-3877	-0.287	0.193	0.903
57481	4145619	-3877	-0.205	-0.101	0.854
57492	4145619	-3877	-0.229	-0.242	0.853
57512	4145522	-3877	-0.268	-0.137	0.765
57534	4145522	-3878	0.189	1.540	0.510
57561	4145267	-3878	-0.442	0.026	0.767
57583	4145450	-3878	-0.525	-0.198	0.867
57604	4145450	-3878	-0.389	-0.397	0.982
57626	4145922	-3876	-0.161	-0.280	0.965
57642	4145922	-3876	-0.158	-0.131	0.938
57663	4145686	-3877	-0.411	-0.235	0.861
57683	4145686	-3877	-0.621	-0.188	0.783
57701	4145761	-3875	-0.446	-0.311	0.986
57723	4145761	-3875	-0.304	-0.402	0.884
57742	4145580	-3876	-0.499	-0.077	0.841
57765	4145580	-3876	-0.526	0.072	0.779
57779	4145580	-3874	-0.555	0.038	0.710
57791	4145547	-3874	-0.634	-0.162	0.650
57813	4145547	-3874	-0.507	-0.115	0.778
57829	4145550	-3876	-0.458	-0.093	0.747
57851	4145550	-3876	-0.651	-0.139	0.700
57868	4145548	-3876	-0.746	-0.137	0.794
57882	4145548	-3876	-0.574	-0.104	0.771
57904	4145619	-3875	-0.594	-0.138	0.687
57923	4145619	-3875	-0.785	-0.084	0.601
57942	4145619	-3874	-0.953	-0.043	0.660
57967	4145360	-3874	-0.785	-0.207	0.719
57988	4145470	-3875	-0.804	-0.265	0.577
58006	4145470	-3875	-0.765	-0.185	0.536
58023	4145470	-3875	-0.822	-0.061	0.513
58028	4145693	-3875	-0.849	0.009	0.398
58050	4145693	-3875	-0.862	-0.210	0.328
58068	4145749	-3874	-0.843	-0.167	0.335
58081	4145749	-3874	-0.773	-0.064	0.258
58092	4145749	-3874	-0.754	0.081	0.133
58105	4145749	-3872	-0.861	0.067	0.133
58116	4145698	-3872	-0.917	0.141	0.103
58151	4145527	-3875	-1.004	0.086	-0.027
58171	4145527	-3875	-0.992	0.007	0.080
58190	4145263	-3873	-1.011	0.092	0.065
58206	4145263	-3873	-1.190	0.060	-0.008
58226	4145263	-3872	-1.292	0.030	-0.008
58249	4145617	-3872	-1.364	0.021	0.036
58265	4145617	-3871	-1.341	0.017	-0.009
58276	4145656	-3871	-1.275	0.001	-0.009
58289	4145656	-3871	-1.224	0.001	-0.059
58303	4145656	-3873	-1.427	-0.046	-0.207
58326	4145528	-3873	-1.080	0.136	-0.251
58349	4145528	-3873	-0.930	0.073	-0.113
58367	4145722	-3873	-0.950	0.069	-0.290
58378	4145722	-3873	-1.049	0.033	-0.415
58386	4145722	-3873	-0.922	0.174	-0.681
58426	4145620	-3872	-0.886	0.191	-0.584
58440	4145542	-3872	-0.885	0.259	-0.768
58488	4145643	-3872	-0.927	0.242	-0.761
58503	4145643	-3872	-0.719	0.198	-0.881
58514	4145668	-3873	-0.554	0.168	-0.658
58536	4145668	-3873	-0.860	0.183	-0.760
58558	4145349	-3874	-0.781	0.346	-0.574
58582	4145349	-3874	-0.529	0.178	-0.723
58603	4145684	-3872	-0.571	0.168	-0.919
58623	4145684	-3872	-0.706	0.059	-0.928
58644	4145639	-3871	-0.562	0.126	-0.811
58660	4145639	-3871	-0.480	0.141	-0.827
58668	4145639	-3871	-0.503	0.079	-0.828
58729	4145896	-3871	-0.368	0.062	-0.958
58751	4145896	-3871	-0.377	0.144	-0.995
58769	4145535	-3871	-0.351	0.104	-0.956
58793	4145535	-3873	-0.350	0.118	-0.830
58814	4145642	-3873	-0.279	-0.003	-0.882
58833	4145642	-3873	-0.317	0.134	-0.781
58852	4145414	-3871	-0.462	0.159	-0.957
58870	4145414	-3871	-0.407	0.212	-0.994
58889	4145321	-3872	-0.378	0.179	-0.932
58908	4145321	-3872	-0.246	0.058	-0.966
58928	4145555	-3873	-0.101	0.046	-0.901
58950	4145555	-3873	-0.132	0.075	-0.854
58969	4145595	-3872	-0.247	0.237	-0.909
58982	4145595	-3872	-0.398	0.115	-1.005
58993	4145595	-3872	-0.551	0.188	-1.113
59004	4145917	-3870	-0.547	0.187	-1.131
59023	4145917	-3870	-0.442	0.143	-0.843
59047	4145573	-3870	-0.218	0.023	-0.835
59070	4145573	-3870	-0.216	-0.051	-0.787
59092	4145406	-3871	-0.217	-0.121	-0.952
59110	4145406	-3871	-0.396	0.278	-0.886
59133	4145627	-3871	-0.521	0.255	-0.949
59148	4145627	-3871	-0.427	0.127	-0.900
59163	4145566	-3869	-0.079	-0.177	-0.925
59193	4145566	-3869	-0.237	0.045	-0.939
59211	4145653	-3868	-0.399	0.121	-0.982
59232	4145653	-3868	-0.360	0.176	-0.978
59251	4145590	-3870	-0.246	0.006	-0.810
59267	4145590	-3870	0.038	0.067	-0.898
59279	4145590	-3870	0.127	-0.039	-0.729
59291	4145547	-3869	0.132	-0.039	-0.503
59297	4145547	-3869	0.177	0.002	-1.298
59379	4145681	-3867	-0.189	0.200	-1.303
59397	4145681	-3867	-0.285	0.200	-0.938
59415	4145615	-3870	-0.228	0.157	-0.821
59431	4145615	-3870	-0.266	0.172	-0.778
59447	4145564	-3871	-0.450	0.078	-0.816
59461	4145564	-3871	-0.312	0.043	-1.188
59479	4145564	-3871	-0.563	-0.031	-0.983
59496	4145512	-3870	-0.583	0.176	-0.639
59517	4145512	-3870	-0.807	0.159	-0.788
59532	4145720	-3867	-0.681	-0.030	-0.934
59540	4145720	-3867	-0.637	-0.104	-0.970
59686	4145705	-3868	-0.481	-0.225	-0.887
59706	4145647	-3868	-0.303	0.243	-0.838
59727	4145647	-3868	-0.417	0.163	-0.711
59747	4145655	-3868	-0.165	0.092	-0.920
59768	4145655	-3868	0.116	-0.133	-0.731
59785	4145835	-3868	-0.022	-0.281	-0.950
59797	4145835	-3868	0.021	0.063	-0.960
59814	4146021	-3867	-0.281	0.200	-1.023
59831	4146021	-3867	-0.688	0.118	-0.949
59852	4146021	-3867	-0.813	-0.012	-0.847
59864	4145884	-3867	-0.776	-0.036	-0.923
59944	4145796	-3868	-0.379	0.014	-0.964
59963	4145796	-3868	-0.400	-0.077	-0.931
59978	4145516	-3865	-0.303	-0.092	-0.904
59991	4145516	-3865	-0.260	-0.131	-0.896
60001	4145516	-3865	-0.301	-0.115	-0.936
60011	4145516	-3865	-0.371	-0.130	-0.958
60045	4145441	-3867	-0.421	-0.229	-0.867
60063	4145221	-3866	-0.297	-0.233	-0.765
60083	4145221	-3866	-0.333	-0.300	-0.808
60099	4145440	-3866	-0.505	-0.089	-0.996
60118	4145440	-3866	-0.285	-0.241	-0.801
60123	4145672	-3864	-0.494	0.104	-0.925
60233	4145639	-3865	-0.519	0.202	-0.840
60249	4145639	-3865	-0.562	0.251	-0.860
60273	4145552	-3865	-0.609	0.229	-0.896
60292	4145552	-3865	-0.644	0.163	-0.902
60313	4145540	-3868	-0.600	0.096	-0.840
60334	4145540	-3868	-0.530	0.035	-0.764
60357	4145508	-3865	-0.533	0.024	-0.773
60377	4145508	-3865	-0.577	0.030	-0.818
60397	4145630	-3864	-0.633	0.060	-0.859
60419	4145630	-3864	-0.658	0.082	-0.845
60438	4145627	-3864	-0.641	0.098	-0.828
60456	4145627	-3864	-0.614	0.082	-0.800
60478	4145617	-3867	-0.618	0.082	-0.795
60499	4145617	-3862	-0.635	0.080	-0.814
60519	4145786	-3862	-0.659	0.070	-0.828
60541	4145786	-3867	-0.630	0.058	-0.887
60557	4145479	-3867	-0.571	0.004	-0.928
60569	4145479	-3867	-0.527	-0.059	-0.947
60581	4145479	-3867	-0.445	-0.121	-0.924
60591	4145471	-3864	-0.409	-0.161	-0.824
60647	4145671	-3862	-0.117	-0.218	-0.844
60676	4145597	-3862	-0.153	-0.196	-0.945
60694	4145597	-3862	-0.172	-0.106	-0.876
60715	4145721	-3864	-0.220	-0.027	-0.856
60737	4145721	-3864	-0.312	0.044	-0.852
60755	4145626	-3865	-0.414	0.095	-0.893
60773	4145626	-3865	-0.499	0.115	-0.896
60785	4145626	-3865	-0.543	0.131	-0.892
60800	4145463	-3862	-0.608	0.121	-0.847
60829	4145629	-3863	-0.634	0.076	-0.827
60852	4145629	-3863	-0.645	0.036	-0.820
60874	4145762	-3864	-0.645	0.007	-0.826
60892	4145762	-3864	-0.642	0.013	-0.830
60905	4145762	-3861	-0.629	0.012	-0.831
60919	4145613	-3861	-0.604	0.005	-0.821
60933	4145613	-3861	-0.582	-0.010	-0.834
60944	4145613	-3861	-0.556	-0.012	-0.836
60951	4145806	-3861	-0.556	-0.041	-0.875
60984	4145806	-3861	-0.459	-0.061	-0.891
61006	4145746	-3863	-0.404	-0.057	-0.871
61030	4145746	-3863	-0.338	-0.056	-0.843
61050	4145715	-3863	-0.308	-0.045	-0.868
61065	4145715	-3863	-0.310	-0.042	-0.870
61142	4145797	-3862	-0.412	-0.030	-0.878
61161	4145702	-3858	-0.455	-0.027	-0.868
61182	4145702	-3858	-0.479	-0.043	-0.855
61201	4145525	-3862	-0.496	-0.026	-0.852
61222	4145525	-3862	-0.512	-0.027	-0.712
61243	4145613	-3861	-0.479	-0.012	-0.777
61264	4145613	-3861	-0.517	-0.005	-0.999
61285	4145725	-3861	-0.456	0.005	-0.806
61301	4145725	-3861	-0.448	0.046	-0.644
61311	4145725	-3861	-0.476	0.054	-0.847
61321	4145661	-3863	-0.450	0.053	-0.638
61410	4145729	-3860	-2.000	-0.055	-0.566
61432	4145729	-3860	0.016	-0.066	-0.857
61453	4152043	-3862	-0.204	0.066	-1.292
61474	4152043	-3862	-0.635	-0.147	-0.795
61495	4145609	-3859	-0.479	-0.056	-0.867
61517	4145609	-3860	-0.109	-0.133	-0.493
61538	4145620	-3860	-0.517	-0.068	-0.849
61557	4145620	-3859	-0.602	-0.038	-0.731
61576	4145938	-3859	-0.461	-0.073	-0.758
61597	4145938	-3861	-0.541	-0.043	-0.881
61617	4145632	-3861	-0.579	-0.023	-0.918
61635	4145632	-3860	-0.502	-0.009	-0.849
61657	4145626	-3860	-0.417	-0.048	-0.820
61672	4145626	-3860	-0.412	-0.051	-0.854
61684	4145569	-3859	-0.417	-0.040	-0.858
61696	4145569	-3859	-0.377	-0.026	-1.018
61705	4145569	-3859	-0.383	0.018	-0.982
61739	4145530	-3858	-0.387	0.063	-0.922
61768	4145590	-3859	-0.407	0.045	-0.748
61787	4145590	-3859	-0.470	0.066	-0.885
61805	4145736	-3859	-0.473	0.044	-0.876
61826	4145736	-3859	-0.488	0.003	-0.858
61848	4145741	-3857	-0.503	-0.022	-0.866
61869	4145741	-3857	-0.495	-0.055	-0.874
61891	4145666	-3857	-0.504	-0.072	-1.011
61912	4145666	-3857	-0.501	-0.077	-0.936
61933	4145755	-3857	-0.458	-0.096	-0.835
61952	4145755	-3857	-0.445	-0.089	-0.877
61972	4145897	-3856	-0.445	-0.082	-0.864
61984	4145897	-3856	-0.449	-0.066	-0.863
61996	4145897	-3856	-0.438	-0.050	-0.864
62014	4145819	-3858	-0.442	-0.033	-0.867
62046	4145819	-3857	-0.462	0.005	-0.916
62064	4145685	-3857	-0.487	-0.002	-0.514
62086	4145685	-3856	-0.528	-0.012	-0.782
62104	4145931	-3856	-0.399	-0.009	-0.764
62128	4145931	-3857	-0.387	-0.014	-0.661
62149	4145600	-3857	-0.454	0.037	-0.892
62170	4145613	-3856	-0.421	-0.035	-0.654
62192	4145613	-3856	-0.507	-0.047	-0.929
62212	4145729	-3857	-0.431	-0.037	-0.903
62227	4145729	-3857	-0.215	-0.004	-0.333
62236	4145729	-3857	-0.298	-0.071	-0.814
62313	4145829	-3857	-0.505	-0.031	-1.405
62333	4145583	-3855	-0.700	-0.048	-0.965
62348	4145583	-3855	-0.647	-0.052	-0.952
62366	4145583	-3855	-0.430	-0.020	-1.211
62388	4145798	-3858	-0.416	0.005	-0.687
62408	4145798	-3858	-0.502	-0.008	-0.409
62428	4145520	-3856	-0.545	-0.043	-1.036
62449	4145520	-3855	-0.516	-0.068	-0.783
62468	4145390	-3855	-0.381	-0.042	-0.870
62488	4145390	-3855	-0.310	-0.037	-0.793
62510	4145692	-3855	-0.357	-0.044	-0.877
62530	4145692	-3854	-0.426	-0.050	-0.894
62551	4145516	-3854	-0.407	-0.048	-0.891
62568	4145516	-3854	-0.325	-0.049	-0.850
62579	4145633	-3855	-0.368	0.004	-0.848
62590	4145633	-3855	-0.409	0.006	-0.841
62599	4145633	-3855	-0.414	0.089	-0.834
62704	4145907	-3854	-0.551	0.008	-0.995
62722	4145907	-3854	-0.490	-0.012	-0.908
62747	4145774	-3856	-0.556	-0.026	-0.969
62768	4145774	-3856	-0.497	-0.068	-0.866
62779	4145477	-3855	-0.502	-0.056	-0.852
62796	4145477	-3855	-0.503	-0.077	-0.753
62813	4145477	-3855	-0.474	-0.094	-0.787
62835	4145427	-3856	-0.472	-0.109	-0.894
62856	4145427	-3855	-0.470	-0.104	-0.858
62873	4145547	-3855	-0.468	-0.080	-0.853
62886	4145547	-3855	-0.466	-0.070	-0.843
62897	4145547	-3855	-0.455	-0.060	-0.867
62916	4145505	-3854	-0.466	-0.037	-0.792
62924	4145505	-3854	-0.436	0.005	-0.801
62966	4145614	-3856	-0.389	0.008	-0.519
62980	4145614	-3856	-0.443	0.040	-1.083
62984	4145898	-3853	-0.363	0.031	-0.847
63059	4145898	-3854	-0.282	-0.035	-0.614
63083	4145539	-3854	-0.421	-0.068	-0.840
63103	4145283	-3856	-0.264	0.028	-0.978
63125	4145323	-3856	-0.579	-0.024	-0.697
63147	4145546	-3853	-0.569	-0.023	-0.494
63167	4145546	-3853	-0.410	0.019	-0.884
63181	4145546	-3853	-0.681	-0.030	-1.083
63191	4145479	-3855	-0.574	-0.092	-0.995
63209	4145479	-3855	-0.582	0.001	-0.971
63227	4145528	-3854	-0.540	0.017	-1.243
63262	4145528	-3852	-0.466	-0.027	-0.907
63282	4145724	-3852	-0.371	-0.020	-0.938
63301	4145724	-3852	-0.466	-0.062	-0.443
63322	4145616	-3854	-0.408	-0.103	-1.000
63339	4145616	-3854	-0.497	-0.117	-0.947
63356	4145648	-3853	-0.405	-0.145	-0.880
63379	4145648	-3853	-0.411	-0.100	-0.887
63400	4145605	-3854	-0.426	-0.036	-0.874
63419	4145605	-3854	-0.462	0.005	-1.050
63439	4145546	-3852	-0.431	0.014	-0.823
63458	4145546	-3852	-0.445	0.043	-0.866
63475	4145797	-3851	-0.461	0.138	-0.912
63487	4145797	-3851	-0.164	0.178	-0.840
63498	4145797	-3851	-0.469	0.048	-0.923
63515	4145554	-3852	-0.494	0.089	-0.880
63522	4145554	-3852	-0.424	0.008	-0.901
63598	4145460	-3852	-0.479	-0.037	-0.887
63618	4145460	-3852	-0.469	-0.105	-0.815
63639	4145462	-3852	-0.475	-0.126	-0.881
63663	4145462	-3852	-0.475	-0.140	-0.855
63681	4145413	-3851	-0.470	-0.129	-0.853
63694	4145413	-3851	-0.464	-0.123	-0.851
63699	4145413	-3851	-0.396	-0.106	-0.376
63744	4145623	-3852	-0.508	-0.074	-0.760
63764	4145694	-3851	-0.587	-0.024	-0.931
63780	4145694	-3851	-0.417	0.004	-0.773
63791	4145694	-3851	-0.359	0.056	-0.770
63802	4145678	-3850	-0.404	0.081	-0.887
63808	4145678	-3850	-0.396	0.058	-0.804
63846	4145695	-3851	-0.370	-0.002	-0.949
63865	4145695	-3851	-0.255	0.035	-1.812
63889	4145359	-3851	-0.543	0.026	-0.945
63915	4145359	-3851	-0.414	0.035	-1.062
63934	4145521	-3851	-0.565	0.118	-0.648
63952	4145521	-3850	-0.650	-0.042	-0.585
63968	4145498	-3850	-0.674	0.006	-1.156
63979	4145498	-3850	-0.617	-0.070	-1.024
63992	4145498	-3850	-0.619	-0.066	-0.898
64001	4145724	-3850	-0.618	-0.027	-0.840
64045	4145780	-3850	-0.525	-0.004	-0.764
64064	4145780	-3850	-0.553	-0.021	-0.873
64075	4145780	-3850	-0.548	-0.045	-0.934
64085	4145529	-3850	-0.525	-0.051	-0.903
64135	4145573	-3848	-0.348	-0.068	-0.886
64151	4145573	-3848	-0.307	-0.078	-0.979
64166	4145598	-3848	-0.326	-0.062	-0.833
64200	4145598	-3850	-0.396	-0.034	-0.868
64221	4145624	-3850	-0.432	-0.001	-0.876
64242	4145471	-3848	-0.468	0.027	-0.854
64258	4145471	-3848	-0.486	0.034	-0.866
64274	4145471	-3848	-0.521	0.044	-0.863
64288	4145441	-3848	-0.583	0.040	-0.812
64315	4145441	-3848	-0.560	0.056	-0.886
64337	4145531	-3848	-0.553	0.052	-0.853
64356	4145531	-3848	-0.520	0.036	-0.861
64373	4145429	-3849	-0.498	0.026	-0.853
64382	4145429	-3849	-0.490	0.012	-1.013
64416	4145469	-3848	-0.418	-0.050	-0.854
64436	4145469	-3848	-0.387	-0.091	-0.876
64456	4145633	-3847	-0.376	-0.094	-0.885
64478	4145633	-3847	-0.390	-0.099	-0.720
64497	4145308	-3850	-0.397	-0.097	-0.995
64519	4145308	-3850	-0.424	-0.104	-0.843
64538	4145649	-3846	-0.468	-0.060	-0.929
64559	4145649	-3846	-0.493	-0.021	-0.943
64580	4145730	-3848	-0.415	-0.013	-1.043
64601	4145730	-3848	-0.437	-0.004	-0.795
64623	4145688	-3848	-0.168	-0.007	-0.788
64644	4145688	-3849	-0.446	0.054	-0.350
64664	4145503	-3849	-0.506	0.068	-0.843
64677	4145503	-3849	-0.475	0.035	-0.962
64688	4145549	-3847	-0.456	0.068	-1.086
64699	4145549	-3847	-0.625	-0.010	-0.761
64705	4145549	-3847	-0.472	-0.001	-0.849
64730	4145505	-3846	-0.539	0.009	-0.837
64750	4145505	-3846	-0.360	0.056	-0.606
64777	4145597	-3849	-0.505	-0.055	-0.780
64793	4145597	-3849	-0.445	-0.084	-0.859
64804	4145597	-3849	-0.465	-0.104	-0.807
64828	4145654	-3845	-0.508	-0.046	-0.722
64846	4145654	-3845	-0.476	-0.040	-0.880
64859	4145540	-3848	-0.431	-0.008	-0.844
64868	4145540	-3848	-0.430	-0.019	-0.879
64881	4145540	-3848	-0.420	-0.018	-0.902
64888	4145540	-3848	-0.428	-0.075	-0.843
64944	4145696	-3845	-0.419	-0.058	-0.774
64966	4145696	-3845	-0.403	-0.030	-0.926
64978	4145471	-3846	-0.408	-0.023	-0.860
64989	4145471	-3846	-0.409	-0.014	-0.896
65019	4145593	-3845	-0.478	-0.006	-0.865
65043	4145593	-3845	-0.503	0.000	-0.862
65056	4145533	-3847	-0.512	0.021	-0.862
65074	4145533	-3847	-0.511	-0.004	-1.094
65095	4145588	-3845	-0.472	0.019	-0.846
65117	4145588	-3845	-0.521	0.021	-0.877
65137	4145431	-3847	-0.526	0.004	-0.858
65158	4145431	-3847	-0.497	-0.014	-0.848
65179	4145473	-3845	-0.485	-0.031	-0.854
65195	4145473	-3845	-0.484	-0.033	-0.860
65215	4145473	-3845	-0.445	-0.049	-0.870
65235	4145455	-3845	-0.407	-0.063	-0.781
65255	4145455	-3846	-0.450	-0.058	-1.099
65274	4145362	-3846	-0.482	-0.109	-0.749
65285	4145362	-3846	-0.397	-0.097	-1.091
65299	4145484	-3845	-0.466	-0.065	-0.444
65309	4145484	-3845	-0.460	-0.045	-0.832
65345	4145523	-3845	-0.415	-0.037	-0.998
65368	4145523	-3845	-0.388	0.011	-0.641
65386	4145472	-3845	-0.244	-0.007	-0.658
65403	4145472	-3845	-0.496	0.034	-0.963
65429	4145576	-3844	-0.439	-0.001	-0.414
65451	4145576	-3844	-0.574	0.000	-0.879
65473	4145386	-3845	-0.645	-0.020	-1.187
65494	4145386	-3845	-0.564	0.019	-1.050
65515	4145597	-3844	-0.470	0.070	-0.786
65533	4145597	-3844	-0.534	0.015	-0.819
65549	4145496	-3844	-0.485	-0.014	-0.741
65565	4145496	-3844	-0.562	-0.023	-0.931
65576	4145496	-3844	-0.537	-0.036	-0.855
65586	4145833	-3843	-0.521	-0.054	-0.910
65619	4145833	-3842	-0.426	-0.093	-0.914
65648	4145657	-3842	-0.382	-0.057	-0.696
65673	4145728	-3844	-0.353	-0.058	-0.862
65695	4145728	-3844	-0.348	-0.043	-0.868
65715	4145817	-3843	-0.499	-0.228	-0.894
65736	4145817	-3843	-0.412	-0.021	-0.858
65757	4145527	-3843	-0.415	0.035	-0.848
65778	4145527	-3843	-0.470	0.035	-0.854
65798	4145553	-3844	-0.573	0.030	-0.985
65818	4145553	-3844	-0.534	0.002	-0.829
65837	4145582	-3843	-0.559	0.017	-0.856
65856	4145582	-3843	-0.545	0.005	-0.835
65873	4145670	-3841	-0.523	-0.002	-0.802
65882	4145670	-3841	-0.527	-0.042	-0.857
65938	4145853	-3843	-0.469	-0.049	-0.854
65958	4145859	-3841	-0.459	-0.059	-0.628
65979	4145859	-3841	-0.437	-0.036	-0.694
66000	4145495	-3844	-0.472	-0.081	-0.932
66019	4145495	-3844	-0.448	-0.076	-0.912
66040	4145461	-3841	-0.344	-0.035	-0.731
66061	4145461	-3841	-0.396	-0.020	-0.905
66079	4145561	-3842	-0.425	0.023	-0.830
66100	4145561	-3842	-0.420	-0.058	-0.833
66121	4145573	-3844	-0.253	0.031	-1.383
66144	4145573	-3844	-0.513	-0.004	-1.034
66159	4145635	-3841	-0.538	-0.008	-0.767
66172	4145635	-3841	-0.524	-0.024	-0.974
66183	4145635	-3841	-0.595	0.011	-0.848
66191	4145891	-3842	-0.486	0.003	-0.780
66280	4145767	-3839	-0.473	-0.001	-0.848
66298	4145767	-3839	-0.472	-0.013	-0.909
66320	4145643	-3842	-0.458	-0.011	-0.867
66343	4145643	-3842	-0.483	-0.042	-0.882
66364	4145482	-3840	-0.453	-0.046	-0.847
66384	4145482	-3840	-0.414	-0.044	-0.851
66392	4145482	-3839	-0.402	-0.051	-0.871
66413	4145460	-3839	-0.413	-0.023	-0.890
66435	4145664	-3840	-0.388	-0.027	-0.820
66457	4145664	-3840	-0.372	-0.033	-0.858
66474	4145664	-3841	-0.494	-0.009	-0.862
66487	4145550	-3841	-0.542	-0.367	-0.924
66497	4145550	-3841	-0.494	-0.036	-0.887
66519	4145649	-3840	-0.446	-0.018	-0.845
66541	4145649	-3840	-0.474	-0.006	-0.841
66563	4145421	-3841	-0.500	0.015	-0.873
66578	4145421	-3841	-0.501	0.020	-0.859
66607	4145749	-3840	-0.507	0.001	-0.656
66622	4145749	-3840	-0.472	0.005	-0.868
66632	4145749	-3840	-0.495	-0.050	-0.892
66663	4145786	-3839	-0.490	-0.025	-0.850
66681	4145411	-3840	-0.470	-0.034	-0.964
66701	4145411	-3840	-0.439	-0.056	-0.835
